minutes_watched,CLV,region,channel,Clicks,Conversions,Campaign_Spend,CTR,Conversion_Rate,Revenue,ROI,Cluster
3197.0,205.42,2,4,319,15,63.940000000000005,9.978104472943384,4.702194357366771,750,1072.974663747263,3
63.0,149.99,0,1,6,0,1.26,9.523809523809524,0.0,0,-100.0,3
605.0,119.0,2,2,60,3,12.1,9.917355371900827,5.0,150,1139.6694214876034,3
20.0,240.0,2,4,2,0,0.4,10.0,0.0,0,-100.0,3
245.0,184.36,1,4,24,1,4.9,9.795918367346939,4.166666666666666,50,920.4081632653061,3
259.0,418.63,0,3,25,1,5.18,9.652509652509652,4.0,50,865.2509652509654,3
5456.0,245.17,0,1,545,27,109.12,9.989002932551319,4.954128440366973,1350,1137.1700879765397,3
247.0,177.98,1,3,24,1,4.94,9.7165991902834,4.166666666666666,50,912.1457489878543,3
160.0,283.44,0,3,16,0,3.2,10.0,0.0,0,-100.0,3
77.0,295.97,1,1,7,0,1.54,9.090909090909092,0.0,0,-100.0,3
231.0,202.88,0,3,23,1,4.62,9.956709956709958,4.3478260869565215,50,982.2510822510824,3
611.0,149.99,0,4,61,3,12.22,9.983633387888707,4.918032786885246,150,1127.495908346972,3
5915.0,366.45,1,1,591,29,118.3,9.991546914623838,4.906937394247039,1450,1125.6973795435333,3
816.0,82.58,2,3,81,4,16.32,9.926470588235293,4.938271604938271,200,1125.4901960784314,3
1312.0,269.97,2,3,131,6,26.240000000000002,9.984756097560975,4.580152671755725,300,1043.2926829268292,3
28988.0,253.93,2,8,2898,144,579.76,9.99724023733959,4.968944099378882,7200,1141.893197185042,0
1319.0,193.63,0,1,131,6,26.38,9.931766489764973,4.580152671755725,300,1037.2251705837757,3
9158.0,53.94,0,1,915,45,183.16,9.991264468224504,4.918032786885246,2250,1128.4341559292423,3
51411.0,449.42,2,3,5141,257,1028.22,9.999805489097664,4.999027426570706,12850,1149.732547509288,2
2812.0,207.12,1,3,281,14,56.24,9.992887624466572,4.98220640569395,700,1144.665718349929,3
5811.0,180.17,2,3,581,29,116.22,9.998279125795904,4.991394148020654,1450,1147.6337979693683,3
1574.0,180.17,1,6,157,7,31.48,9.974587039390089,4.45859872611465,350,1011.8170266836084,3
8121.0,269.97,0,8,812,40,162.42000000000002,9.998768624553627,4.926108374384237,2000,1131.375446373599,3
399.0,149.99,2,4,39,1,7.98,9.774436090225564,2.564102564102564,50,526.5664160401002,3
1817.0,269.97,0,3,181,9,36.34,9.96147495872317,4.972375690607735,450,1138.3048981838194,3
42437.0,285.76,0,3,4243,212,848.74,9.998350496029408,4.996464765496111,10600,1148.9101491622876,0
5574.0,286.17,2,3,557,27,111.48,9.992823824901327,4.847396768402154,1350,1110.9795479009688,3
266.0,149.99,2,7,26,1,5.32,9.774436090225564,3.8461538461538463,50,839.8496240601503,3
4461.0,287.49,0,1,446,22,89.22,9.997758350145707,4.932735426008969,1100,1132.9074198610178,3
3326.0,102.18,2,4,332,16,66.52,9.981960312687914,4.819277108433735,800,1102.6458208057727,3
9410.0,185.98,2,5,941,47,188.20000000000002,10.0,4.994686503719448,2350,1148.6716259298619,3
1632.0,202.04,2,1,163,8,32.64,9.987745098039216,4.9079754601226995,400,1125.4901960784314,3
4071.0,149.98,0,7,407,20,81.42,9.997543601080816,4.914004914004914,1000,1128.1994595922376,3
14036.0,180.52,2,3,1403,70,280.72,9.99572527785694,4.989308624376337,3500,1146.7939583927043,0
6438.0,515.24,2,1,643,32,128.76,9.987573780677229,4.976671850699844,1600,1142.6219322771046,3
2984.0,363.79,1,3,298,14,59.68,9.986595174262733,4.697986577181208,700,1072.922252010724,3
61.0,149.99,0,4,6,0,1.22,9.836065573770492,0.0,0,-100.0,3
4499.0,86.24,2,2,449,22,89.98,9.979995554567681,4.8997772828507795,1100,1122.4938875305622,3
315.0,149.98,0,4,31,1,6.3,9.841269841269842,3.225806451612903,50,693.6507936507937,3
2991.0,306.58,2,1,299,14,59.82,9.996656636576395,4.682274247491638,700,1070.177198261451,3
7761.0,176.98,2,1,776,38,155.22,9.998711506249194,4.896907216494846,1900,1124.0690632650433,3
1293.0,358.18,1,1,129,6,25.86,9.976798143851507,4.651162790697675,300,1060.092807424594,3
3602.0,269.96,2,1,360,18,72.04,9.994447529150472,5.0,900,1149.305941143809,3
2843.0,286.09,0,7,284,14,56.86,9.989447766443897,4.929577464788732,700,1131.0939148786495,3
2646.0,269.97,0,3,264,13,52.92,9.977324263038549,4.924242424242424,650,1128.2690854119426,3
1582.0,75.42,2,4,158,7,31.64,9.987357774968395,4.430379746835443,350,1006.1946902654868,3
